"","Entrez.Mouse","Entrez.Human","Entrez.Rat"
"69339",69339,84692,498073
"70615",70615,170961,299639
"70897",70897,161142,366671
"71973",71973,348093,503214
"102632",102632,84129,315973
"72049",72049,115650,500910
"72074",72074,257629,687561
"72514",72514,143282,499349
"73090",73090,147685,691722
"73212",73212,84310,498154
"74239",74239,23288,NA
"74243",74243,128710,499895
"74446",74446,150159,NA
"74498",74498,64689,56082
"75453",75453,79741,498971
"75434",75434,339778,500620
"75732",75732,115811,NA
"75801",75801,317761,500673
"69634",69634,171425,306198
"76366",76366,219402,684274
"76509",76509,349633,363060
"78239",78239,391253,100361889
"78906",78906,126353,500797
"79401",79401,84654,499510
"71939",71939,80830,NA
"30925",30925,114836,498287
"100182",100182,80709,362530
"83428",83428,114131,498791
"83555",83555,56156,680865
"83558",83558,56159,501588
"66953",66953,83879,311742
"208634",208634,83882,688308
"70862",70862,83893,294932
"76633",76633,83938,681383
"434130",434130,83987,494320
"52589",52589,83988,553106
"73435",73435,84066,680164
"104601",104601,84073,494192
"381798",381798,84077,500258
"72562",72562,84105,NA
"77799",77799,84174,499931
"243197",243197,84179,305625
"330323",330323,84182,312365
"78317",78317,283234,293698
"67080",67080,84281,685203
"71200",71200,84332,688422
"77058",77058,84960,499754
"66379",66379,84987,NA
"232441",232441,85004,502916
"56314",56314,7551,100912096
"15201",15201,3070,294071
"382239",382239,53336,NA
"75482",75482,94086,363681
"228801",228801,92747,499926
"171530",171530,90226,170896
"218630",218630,10309,499528
"19363",19363,5890,500679
"216169",216169,81926,299617
"106369",106369,29799,NA
"106763",106763,84630,316229
"270672",270672,389840,501558
"234129",234129,93492,364629
"117599",117599,92797,500837
"71564",71564,113177,362832
"229499",229499,115350,NA
"225638",225638,115701,NA
"233186",233186,27181,292843
"107746",107746,2889,63881
"26430",26430,8505,83507
"623661",623661,51601,316342
"280645",280645,135152,64544
"74468",74468,6677,500052
"13798",13798,2019,685360
"100113398",100113398,113179,100125374
"209478",209478,23232,685933
"76809",76809,140707,498176
"140489",140489,128408,499952
"75656",75656,128653,NA
"436090",436090,118442,501049
"263803",263803,29941,NA
"231151",231151,93624,289717
"18291",18291,135935,502759
"432552",432552,153745,497888
"214552",214552,22897,363055
"435391",435391,338599,361003
"330502",330502,284406,100910231
"71037",71037,203074,683415
"194974",194974,256979,498412
"68625",68625,149465,679641
"74574",74574,206338,502160
"209200",209200,151636,498089
"171395",171395,168507,NA
"171506",171506,132243,502875
"232413",232413,160364,680338
"276891",276891,91937,497891
"214763",214763,115004,682147
"71275",71275,122945,681924
"329421",329421,140469,366069
"218624",218624,133396,688622
"246746",246746,146722,NA
"108812",108812,130540,316413
"75368",75368,92346,360864
"329581",329581,79444,296468
"70235",70235,25886,501048
"269585",269585,7579,500549
"77531",77531,56899,314721
"330820",330820,123970,680913
"75820",75820,128025,689524
"74218",74218,132989,498330
"213068",213068,137835,690657
"217370",217370,79415,619574
"227545",227545,254427,683460
"73523",73523,157310,691997
"108811",108811,160857,100360752
"74041",74041,220042,499204
"211228",211228,126364,498605
"56220",56220,162655,NA
"71138",71138,221468,102547645
"230996",230996,54991,313775
"269328",269328,143662,690914
"216871",216871,388323,497943
"224008",224008,23514,498119
"233056",233056,388536,102547413
"258443",258443,127062,NA
"258216",258216,390162,404891
"258658",258658,441670,290010
"258036",258036,81050,120095566
"330050",330050,222234,499979
"71901",71901,203259,691024
"210554",210554,135458,NA
"75860",75860,122046,498133
"69528",69528,123775,687399
"434156",434156,126272,NA
"620779",620779,127795,500505
"433323",433323,130367,301543
"330301",330301,136051,100158223
"245631",245631,139221,501630
"72345",72345,139285,501584
"268729",268729,143162,498583
"216974",216974,147011,497959
"74352",74352,147929,NA
"72723",72723,148266,365224
"629499",629499,140699,100360777
"73747",73747,149840,681292
"70466",70466,150468,680515
"102636554",102636554,151254,NA
"76872",76872,164592,287936
"71863",71863,165100,501180
"234329",234329,166655,NA
"237211",237211,2187,501552
"319618",319618,196513,500305
"23863",23863,199699,685719
"238875",238875,202309,686075
"211383",211383,205147,501122
"544696",544696,221322,100359595
"329738",329738,254268,691416
"75784",75784,255119,685158
"629303",629303,256957,497970
"106757",106757,257062,680264
"214106",214106,257169,500475
"320869",320869,124045,NA
"260408",260408,377047,408244
"330010",330010,254173,298692
"228778",228778,140680,502684
"71522",71522,124975,408206
"71583",71583,135398,688459
"109218",109218,135932,680244
"100504446",100504446,163154,680177
"214290",214290,79670,501515
"216188",216188,160428,299699
"98952",98952,399665,687750
"231296",231296,339977,289587
"78249",78249,221393,501106
"242700",242700,163702,362628
"68795",68795,130507,311115
"210762",210762,145376,299153
"66818",66818,79086,688495
"207819",207819,389384,689561
"210673",210673,285368,502873
"229227",229227,84162,294978
"232414",232414,283420,502901
"236790",236790,203522,681665
"239029",239029,195977,364513
"244653",244653,54768,292017
"269033",269033,162681,361346
"272538",272538,79613,307816
"239368",239368,203111,681820
"230909",230909,148345,691354
"66338",66338,284040,100362817
"192199",192199,284654,313589
"545428",545428,285025,311134
"73075",73075,285755,685567
"97031",97031,286262,499749
"225922",225922,219990,690888
"68255",68255,255043,NA
"69189",69189,199675,498128
"622404",622404,203260,313496
"70571",70571,256536,361669
"381476",381476,285555,499719
"320590",320590,136306,500085
"233765",233765,144100,499249
"108803",108803,201243,497938
"108899",108899,65998,499309
"237465",237465,120935,500823
"242408",242408,392307,298398
"320135",320135,144608,500354
"320111",320111,285800,361481
"353148",353148,259285,680188
"319581",319581,389610,497083
"319942",319942,400258,691485
"329831",329831,730112,100365928
"387512",387512,338398,502757
"208154",208154,151888,407756
"211936",211936,493860,499848
"218739",218739,132203,498456
"219170",219170,144809,NA
"235345",235345,399949,100359479
"233904",233904,9739,NA
"78390",78390,283748,691905
"332578",332578,414332,499756
"623534",623534,347736,NA
"434438",434438,339834,680018
"71326",71326,340205,501096
"73893",73893,338949,691306
"73388",73388,128861,690402
"381651",381651,152816,100911949
"77701",77701,286256,NA
"78465",78465,339512,498270
"242484",242484,401546,685849
"330941",330941,399947,100125362
"387356",387356,353164,100363053
"207618",207618,219578,499994
"22688",22688,197320,367033
"329909",329909,199964,100909776
"546144",546144,256764,300834
"77352",77352,126859,501861
"64009",64009,23345,499010
"78286",78286,89797,171563
"78118",78118,146378,NA
"243385",243385,285513,502784
"675812",675812,100289635,100365779
"227717",227717,347148,379044
"232016",232016,223075,500139
"109242",109242,347240,313170
"71276",71276,284001,688324
"224065",224065,257313,378939
"435626",435626,285180,301510
"74253",74253,346689,689885
"76406",76406,374877,498129
"74230",74230,400566,497957
"277496",277496,198437,296483
"320706",320706,140710,311578
"546611",546611,123103,100362676
"321008",321008,374920,308381
"100039795",100039795,387597,685277
"381759",381759,494551,502750
"228094",228094,375298,NA
"67317",67317,138724,100360821
"654801",654801,147808,308337
"76088",76088,81704,499337
"71281",71281,403314,498251
"100038725",100038725,387119,100365935
"100073351",100073351,404281,NA
"74362",74362,200162,690746
"327957",327957,388325,691993
"100043057",100043057,131920,100360091
"74589",74589,166348,502859
"75266",75266,387990,689996
"64661",64661,388533,NA
"381634",381634,389197,102553825
"666938",666938,389206,681008
"71421",71421,401138,689404
"620235",620235,284266,498888
"69480",69480,23508,500689
"225289",225289,57536,498831
"320557",320557,26049,310013
"239102",239102,85446,305888
"216825",216825,23326,303201
"14270",14270,23380,360840
"327992",327992,124535,688111
"75558",75558,149643,498316
"245536",245536,158830,NA
"70080",70080,147710,502306
"239591",239591,164714,NA
"546134",546134,196996,300761
"72273",72273,284422,NA
"70163",70163,646627,691259
"74338",74338,340024,664630
"70859",70859,220416,364427
"214489",214489,283951,497874
"69861",69861,254439,689065
"74472",74472,441476,499746
"71837",71837,388963,NA
"233918",233918,399814,499276
"75667",75667,338661,500980
"69384",69384,440955,501056
"73884",73884,57683,501153
"238333",238333,161394,681908
"637277",637277,221711,364688
"232077",232077,344167,502846
"245884",245884,346653,500060
"242594",242594,199920,500514
"333048",333048,255349,679783
"71831",71831,285423,NA
"227736",227736,286207,499781
"546519",546519,283999,688285
"68510",68510,26173,288514
"319433",319433,647174,691375
"671535",671535,84875,102548778
"546886",546886,387885,304509
"442827",442827,401258,309649
"380753",380753,222255,362726
"631797",631797,654463,314997
"100233175",100233175,84520,NA
"74376",74376,84700,304551
"73569",73569,389136,498038
"70317",70317,339231,688311
"73344",73344,728858,690784
"74337",74337,342979,100359592
"384452",384452,344022,502857
"545481",545481,343578,NA
"619287",619287,340595,680778
"78809",78809,342346,NA
"380918",380918,283514,692004
"381107",381107,642987,501199
"78469",78469,388946,682006
"380842",380842,401236,102554838
"545798",545798,387890,687797
"235472",235472,283659,315806
"546840",546840,388633,689088
"624866",624866,389170,361953
"242037",242037,389161,100361272
"622320",622320,283219,499209
"268469",268469,22834,497984
"72792",72792,257407,100362216
"435811",435811,401944,502992
"74847",74847,728637,497904
"74855",74855,653140,313936
"100504518",100504518,118461,498579
"433619",433619,448834,432393
"223843",223843,440097,541457
"433771",433771,440574,NA
"381112",381112,100271715,500608
"11666",11666,215,363516
"11733",11733,286,306570
"12567",12567,1019,NA
"12578",12578,1029,NA
"12788",12788,1259,85259
"12825",12825,1281,84032
"12831",12831,1289,85490
"13487",13487,1811,114629
"14184",14184,2261,84489
"103988",103988,2645,24385
"14919",14919,3000,79222
"16416",16416,3690,29302
"16668",16668,3875,NA
"17523",17523,4353,303413
"18815",18815,5340,85253
"18741",18741,5308,54284
"19893",19893,6103,NA
"20537",20537,6523,25552
"11671",11671,224,65183
"110308",110308,3852,369017
"17906",17906,4633,363925
"12638",12638,1080,24255
"12813",12813,1300,25681
"14121",14121,2203,24362
"50917",50917,2588,292073
"16835",16835,3949,300438
"18174",18174,4891,25715
"18126",18126,4843,24599
"11548",11548,147,24173
"11655",11655,211,65155
"11669",11669,217,NA
"56752",56752,223,64040
"12288",12288,775,24239
"110835",110835,1138,25102
"13121",13121,1595,25427
"14403",14403,2563,29689
"15559",15559,3357,29581
"16411",16411,3687,499271
"18429",18429,5020,25504
"18453",18453,5034,25506
"18671",18671,5243,170913
"19055",19055,5530,24674
"546729",546729,255022,499367
"13512",13512,1830,291752
"12359",12359,847,24248
"14261",14261,2326,25256
"19773",19773,6013,25616
"15978",15978,3458,25712
"20911",20911,6813,81804
"14688",14688,2782,24400
"19345",19345,5878,287709
"14683",14683,2778,24896
"56529",56529,23478,65166
"53421",53421,29927,80843
"14678",14678,2771,81664
"20290",20290,6346,688605
"13162",13162,6531,24898
"21337",21337,6865,25007
"56318",56318,55,56780
"109711",109711,87,81634
"11740",11740,292,NA
"11749",11749,309,79125
"27421",27421,368,81642
"108058",108058,817,24246
"12428",12428,890,114494
"264064",264064,1024,498140
"107951",107951,1025,362110
"100088",100088,1104,682908
"12654",12654,1116,89824
"13001",13001,1460,81650
"18163",18163,1501,114028
"330662",330662,1793,NA
"13548",13548,1859,25255
"13799",13799,2020,499964
"78943",78943,2081,498013
"26381",26381,2104,360896
"14735",14735,2239,317322
"15468",15468,3275,499420
"15502",15502,3301,65028
"11305",11305,20,79248
"11843",11843,378,79120
"67972",67972,490,29598
"12183",12183,669,296973
"12564",12564,1006,84408
"17228",17228,1215,25627
"12824",12824,1280,25412
"12823",12823,1310,367236
"109697",109697,1357,24269
"56373",56373,1361,113936
"12902",12902,1380,289395
"12922",12922,1395,64680
"58214",58214,1473,366219
"13033",13033,1509,171293
"66445",66445,1537,300047
"320685",320685,1635,290741
"11790",11790,10290,363256
"13497",13497,1821,66027
"67603",67603,1848,116663
"14247",14247,2313,315532
"14695",14695,2784,60449
"56637",56637,2932,84027
"66596",66596,2971,246299
"50702",50702,3078,289057
"212032",212032,3101,25060
"15444",15444,3208,29177
"21923",21923,3371,116640
"100040591",100040591,3769,94341
"16542",16542,3791,25589
"16570",16570,3797,85248
"16646",16646,3836,288064
"16691",16691,3856,25626
"64818",64818,3887,NA
"16832",16832,3945,24534
"16917",16917,4010,114501
"17096",17096,4067,81515
"17169",17169,4140,170577
"17319",17319,4282,NA
"17690",17690,4440,259272
"18176",18176,4893,24605
"18293",18293,4967,360975
"330908",330908,4978,116597
"18481",18481,5063,29433
"18509",18509,5081,500574
"237459",237459,5128,314743
"18641",18641,5211,25741
"109820",109820,5225,24864
"18792",18792,5328,25619
"234779",234779,5336,29337
"18806",18806,5338,25097
"18948",18948,5409,24661
"18987",18987,5452,117058
"18750",18750,5578,24680
"18760",18760,5587,85421
"18762",18762,5590,25522
"26417",26417,5595,50689
"50772",50772,5597,58840
"19094",19094,5600,689314
"26420",26420,5601,50658
"26399",26399,5608,114495
"67763",67763,5635,64390
"19173",19173,5693,29425
"19185",19185,5710,83499
"19272",19272,5796,NA
"19346",19346,5870,84379
"19354",19354,5880,366957
"19387",19387,5905,362965
"74012",74012,5912,170923
"245688",245688,5931,83712
"20111",20111,6195,81771
"29857",29857,6300,60352
"20272",20272,6332,64155
"56086",56086,6418,307947
"20383",20383,6428,361814
"20405",20405,6455,81922
"93761",93761,6594,317575
"20851",20851,6777,25126
"382253",382253,6792,100362725
"53420",53420,6861,54309
"228980",228980,6874,NA
"50492",50492,7064,64517
"21925",21925,7125,296369
"21924",21924,7134,290561
"22070",22070,7178,NA
"22025",22025,7181,252924
"50493",50493,7296,58819
"70620",70620,7336,287927
"22350",22350,7430,54319
"22773",22773,7547,367944
"385674",385674,7727,102551846
"27402",27402,8050,311254
"22225",22225,8078,297593
"20539",20539,8140,50719
"226419",226419,8444,304775
"93762",93762,8467,307766
"226751",226751,8476,114116
"234854",234854,8558,361434
"13244",13244,8560,58970
"93702",93702,56101,NA
"54403",54403,8671,84484
"68159",68159,415117,685180
"544791",544791,8735,103693367
"14120",14120,8789,114508
"56451",56451,8802,114597
"53886",53886,8999,305242
"26370",26370,1069,84593
"13796",13796,2016,500235
"14104",14104,2194,50671
"23887",23887,2687,29566
"15929",15929,3421,25179
"105243",105243,6550,24784
"71091",71091,8814,314198
"18452",18452,8974,360526
"20877",20877,9212,114592
"449521",449521,7760,287094
"56456",56456,86,361925
"68021",68021,670,361239
"216150",216150,997,299602
"12988",12988,1445,315707
"13804",13804,2021,362100
"13839",13839,2044,79208
"14425",14425,2591,366061
"15415",15415,3217,497985
"16573",16573,3799,117550
"26564",26564,4920,306782
"72930",72930,5521,60660
"102626",102626,7867,315994
"11775",11775,8120,NA
"20592",20592,8284,100312983
"26900",26900,8653,100312982
"23972",23972,9060,294103
"219135",219135,9107,305935
"16798",16798,9113,308265
"16499",16499,9196,58981
"16870",16870,9355,296706
"16569",16569,9371,296284
"26371",26371,9391,29231
"26357",26357,9429,312382
"56640",56640,9622,408210
"60595",60595,81,63836
"320865",320865,1016,310174
"12579",12579,1030,25164
"16572",16572,3798,314906
"71602",71602,4643,25484
"72461",72461,5547,293118
"19108",19108,5613,501563
"230257",230257,9991,83515
"26874",26874,225,84356
"12354",12354,766,291819
"329941",329941,1296,313592
"11692",11692,2671,27100
"14661",14661,2746,24399
"15107",15107,3033,113965
"15461",15461,3265,NA
"236900",236900,5165,296849
"19877",19877,6093,81762
"22612",22612,7525,24884
"242425",242425,9568,83633
"23797",23797,10000,29414
"11768",11768,10053,367038
"16886",16886,3985,29524
"16906",16906,4001,116685
"277089",277089,6282,NA
"68776",68776,6882,NA
"21408",21408,6940,24522
"23888",23888,10082,691984
"15259",15259,10114,83617
"67168",67168,10161,691774
"74511",74511,10234,502715
"71833",71833,10238,303602
"102442",102442,10260,315756
"11801",11801,922,NA
"17127",17127,4088,25631
"17448",17448,4191,81829
"17389",17389,4325,65205
"108156",108156,4522,64300
"77579",77579,4628,79433
"27401",27401,6502,294790
"208665",208665,6718,192242
"217866",217866,9578,113960
"208727",208727,9759,363287
"22778",22778,10320,305501
"22153",22153,10382,29213
"17988",17988,10397,299923
"140481",140481,4122,308757
"12153",12153,649,83470
"12343",12343,830,493810
"81489",81489,3337,361384
"18738",18738,5306,29525
"19023",19023,5470,305246
"237178",237178,5475,317498
"226849",226849,5525,312754
"26932",26932,5529,299147
"18753",18753,5580,170538
"19091",19091,5592,54286
"58231",58231,6789,311622
"69922",69922,7444,360991
"99683",99683,10427,295461
"236794",236794,10479,302863
"55979",55979,10554,406165
"14679",14679,2773,25643
"14674",14674,10672,303634
"20132",20132,10692,310869
"12467",12467,10693,363658
"74237",74237,10844,309098
"17156",17156,10905,295319
"20729",20729,10927,NA
"21399",21399,6917,NA
"72094",72094,79799,289533
"26754",26754,10987,312916
"69191",69191,64714,287164
"231821",231821,11033,171097
"13436",13436,1789,444985
"15404",15404,3204,500126
"209027",209027,5831,287877
"19769",19769,6016,499652
"54197",54197,6048,407784
"20269",20269,6328,497770
"238555",238555,10385,306957
"23924",23924,11104,292464
"218973",218973,11169,305827
"27404",27404,10351,303637
"234733",234733,11269,690693
"106504",106504,11329,361813
"68738",68738,84532,296259
"214952",214952,89941,NA
"12974",12974,1431,170587
"20322",20322,6652,24788
"333433",333433,23171,363159
"66390",66390,51012,494346
"16470",16470,124590,287819
"68465",68465,79602,312670
"13589",13589,22919,114764
"66194",66194,65263,NA
"22217",22217,219333,NA
"11941",11941,491,24215
"209011",209011,51547,303745
"246696",246696,81894,688811
"56012",56012,5224,24959
"16574",16574,3800,311024
"216877",216877,56919,287464
"234852",234852,5119,365024
"106794",106794,90957,366532
"17916",17916,4542,314654
"19691",19691,5965,312824
"50790",50790,2182,113976
"338521",338521,79152,307855
"54160",54160,26958,301742
"68090",68090,10897,171441
"242557",242557,84938,313391
"232533",232533,23012,691337
"234967",234967,120103,315439
"56384",56384,3954,305457
"320150",320150,23390,366889
"83602",83602,2957,83830
"80707",80707,51741,292041
"270035",270035,137994,361169
"68092",68092,22916,689116
"11820",11820,351,54226
"11989",11989,84889,29485
"12286",12286,773,25398
"333883",333883,966,25407
"12814",12814,1301,25654
"13653",13653,1958,24330
"13840",13840,285220,29202
"17069",17069,4061,362934
"17164",17164,9261,289014
"104362",104362,644890,679834
"17920",17920,4646,315840
"18507",18507,5079,500453
"18751",18751,5579,25023
"18844",18844,5361,362398
"18845",18845,5362,289392
"19042",19042,5494,24666
"19056",19056,5532,24675
"26397",26397,5606,303200
"19719",19719,5986,60433
"20319",20319,6423,310552
"26414",26414,5602,25272
"20521",20521,116085,365398
"20841",20841,7702,361627
"22114",22114,83942,288358
"22348",22348,140679,83612
"22691",22691,54993,683603
"237940",237940,314,NA
"11982",11982,57194,365266
"12953",12953,1408,170917
"13346",13346,1674,64362
"13361",13361,1719,24312
"13592",13592,64641,361060
"13593",13593,253738,361668
"15257",15257,204851,365895
"16011",16011,3488,25285
"16372",16372,153572,306657
"16497",16497,7881,29737
"16498",16498,8514,29738
"235626",235626,29072,316013
"16828",16828,3939,24533
"16872",16872,89884,360858
"16913",16913,5696,NA
"17910",17910,51168,501699
"20472",20472,10736,366542
"20928",20928,10060,25560
"21871",21871,23545,NA
"22631",22631,7534,25578
"22697",22697,7589,304342
"23790",23790,23603,501841
"23920",23920,3645,60663
"23923",23923,51166,29416
"23963",23963,10178,298168
"24087",24087,7093,365460
"26373",26373,1186,29233
"26400",26400,5609,NA
"72727",72727,26229,NA
"76467",76467,22921,361286
"93759",93759,23411,309757
"66354",66354,22938,500695
"109079",109079,22929,291314
"217944",217944,9771,362799
"225876",225876,22992,361700
"100732",100732,22924,298848
"258310",258310,26493,405106
"67898",67898,553115,297900
"235504",235504,26503,NA
"30941",30941,27005,688466
"12322",12322,815,25400
"232493",232493,2998,25623
"216033",216033,29119,361839
"76123",76123,29899,362021
"237636",237636,29881,432367
"14979",14979,7923,361802
"15170",15170,5777,116689
"15452",15452,3251,24465
"16950",16950,84695,312478
"18366",18366,79345,405071
"19883",19883,6095,300807
"22255",22255,340260,NA
"27399",27399,9807,NA
"108096",108096,6579,NA
"30944",30944,30832,78972
"226646",226646,4720,289218
"226844",226844,28982,108348225
"216767",216767,29093,287302
"30962",30962,11136,116726
"30877",30877,26354,290556
"235574",235574,27032,170699
"50722",50722,27120,499150
"77891",77891,27338,292588
"30934",30934,27348,311854
"50523",50523,26524,305922
"107522",107522,9718,408243
"238130",238130,9732,366608
"269037",269037,9811,364900
"66515",66515,9820,680835
"140580",140580,9844,361251
"259302",259302,9901,500287
"260315",260315,89795,314814
"347722",347722,116987,316611
"192167",192167,22871,116647
"52202",52202,23029,307956
"70549",70549,83660,315776
"67016",67016,23102,315880
"380711",380711,23108,303298
"78309",78309,23113,316228
"233789",233789,23049,691397
"81000",81000,23132,363135
"319565",319565,23224,366669
"215814",215814,25901,361454
"270685",270685,25902,361472
"240667",240667,25956,309433
"225913",225913,26007,361730
"67198",67198,26010,316426
"269610",269610,26038,691589
"626834",626834,26085,292848
"67345",67345,26091,309758
"72306",72306,27153,502764
"382985",382985,50484,299976
"98193",98193,50717,364050
"71778",71778,51088,305351
"192196",192196,51631,312251
"68212",68212,51643,362884
"78825",78825,51029,289277
"66164",66164,51388,192180
"54161",54161,22820,NA
"14026",14026,51466,79115
"71791",71791,51200,502736
"80898",80898,51752,80897
"223604",223604,51305,NA
"26419",26419,5599,116554
"16564",16564,55605,300158
"50932",50932,50488,303259
"241489",241489,50940,NA
"56379",56379,3758,24521
"53857",53857,51807,500377
"53896",53896,56301,114518
"270160",270160,54734,315668
"74202",74202,54751,362650
"68203",68203,54769,291006
"74645",74645,54855,310721
"212555",212555,54896,362642
"72699",72699,54923,362289
"230234",230234,54942,298018
"232827",232827,55655,684545
"71889",71889,55040,360605
"239188",239188,55068,306038
"66441",66441,55110,690303
"66929",66929,55723,304648
"101437",101437,55760,361667
"52398",52398,55752,305227
"239017",239017,55753,290566
"59040",59040,55288,NA
"71279",71279,55315,353307
"71900",71900,54664,312132
"74320",74320,55339,NA
"58250",58250,50515,314694
"94217",94217,53353,311926
"64177",64177,55503,114246
"100048658",100048658,55510,682138
"20888",20888,442038,65185
"110083",110083,201625,252959
"93709",93709,56114,NA
"93717",93717,56107,NA
"328795",328795,53347,309666
"71096",71096,54212,500394
"83456",83456,54456,300141
"66809",66809,54474,286912
"72404",72404,54521,246152
"75698",75698,54537,364514
"78798",78798,27436,313861
"218639",218639,54622,689079
"57915",57915,23216,360937
"12557",12557,1015,117048
"56410",56410,643866,501998
"64436",64436,56623,114089
"16565",16565,23046,289397
"80795",80795,58515,290549
"66435",66435,55757,361091
"626359",626359,56964,499189
"80752",80752,56975,304334
"56807",56807,192683,65171
"71365",71365,57107,365592
"504186",504186,57053,64574
"192651",192651,57335,497923
"80837",80837,57381,299145
"12750",12750,57396,287269
"224805",224805,57505,301254
"117600",117600,57522,314903
"81840",81840,57537,305438
"93688",93688,57626,290426
"74198",74198,113878,304591
"11735",11735,288,361833
"57738",57738,6565,60577
"58226",58226,8912,114862
"67210",67210,57798,500005
"381924",381924,3681,64350
"57815",57815,166378,361935
"19281",19281,11122,362263
"59092",59092,57060,363133
"56773",56773,4166,307859
"76500",76500,51447,59268
"112405",112405,54583,308913
"105501",105501,63874,364380
"74772",74772,23400,362645
"114604",114604,63977,304054
"66629",66629,64083,78961
"64075",64075,64093,314280
"67775",67775,64108,360733
"56298",56298,64225,298757
"239096",239096,64403,498515
"223775",223775,415116,64534
"69727",69727,64854,289584
"216578",216578,64895,305586
"234135",234135,54904,290831
"65962",65962,9351,116501
"67180",67180,81555,361315
"69583",69583,8741,287437
"75735",75735,53354,294088
"104443",104443,10886,78964
"235604",235604,79012,79011
"140765",140765,64699,309665
"94213",94213,79009,361848
"212198",212198,79446,314443
"52710",52710,79581,NA
"207965",207965,79609,102548559
"71685",71685,79623,NA
"69769",69769,79626,310663
"211347",211347,79646,360511
"67487",67487,79665,287595
"244141",244141,79731,293128
"226841",226841,79805,498309
"73668",73668,79809,295654
"208583",208583,79858,315978
"72154",72154,79898,360775
"214642",214642,79974,500046
"70604",70604,79982,499716
"68813",68813,80005,305987
"233549",233549,80168,681211
"271221",271221,80183,290403
"403187",403187,80207,108349551
"70661",70661,23387,684112
"78177",78177,22981,311529
"80720",80720,80714,361131
"13180",13180,5092,29700
"64655",64655,56945,683519
"66525",66525,92609,687295
"66612",66612,94103,360618
"66704",66704,83759,474154
"66707",66707,222698,291165
"66811",66811,405753,499879
"67238",67238,84792,498145
"64660",64660,64951,498406
"67554",67554,253512,361074
"67608",67608,26502,360681
"67703",67703,84623,315546
"67912",67912,387263,100125364
"67942",67942,517,NA
"68149",68149,78990,314405
"68214",68214,119391,309465
"68977",68977,84264,302995
"69440",69440,414918,362983
"380712",380712,727910,497955
"70556",70556,84275,NA
"71099",71099,283629,290229
"71310",71310,23158,304645
"72002",72002,283375,362812
"72462",72462,23076,309673
"73316",73316,125972,364529
"109019",109019,64859,363227
"73998",73998,8916,362377
"74388",74388,54878,315758
"75608",75608,128866,NA
"75965",75965,253832,305923
"76668",76668,130752,316444
"77018",77018,84570,687064
"77056",77056,255104,500573
"432763",432763,80758,498704
"209378",209378,80760,684327
"76378",76378,54763,288053
"214895",214895,81562,120094667
"328845",328845,81616,301120
"240726",240726,81796,312907
"109700",109700,3672,25118
"18663",18663,5232,316265
"20509",20509,6573,29723
"68117",68117,139322,317191
"57330",57330,64599,304378
"232944",232944,57787,680407
"228432",228432,63982,311287
"68778",68778,83606,687713
"71803",71803,83733,681896
"75209",75209,22987,29643
"69694",69694,83940,690068
"545156",545156,8997,84009
"208188",208188,2693,84022
"93716",93716,9708,NA
"69543",69543,84290,NA
"381979",381979,84446,499073
"230718",230718,84618,313574
"408198",408198,84651,408237
"84652",84652,84668,499975
"338403",338403,84735,307212
"234309",234309,84869,359725
"635169",635169,84970,682102
"545276",545276,89792,499302
"100503991",100503991,93650,308569
"20362",20362,23176,303135
"102636769",102636769,389812,NA
"244562",244562,94160,291923
"218121",218121,154141,498741
"68915",68915,57176,NA
"224814",224814,89845,316231
"232941",232941,147699,292690
"353169",353169,154091,308028
"140858",140858,11091,362093
"232223",232223,114112,297437
"77254",77254,90522,292768
"68473",68473,92597,360920
"414801",414801,85450,100912218
"233893",233893,92595,NA
"93840",93840,57216,289229
"58864",58864,81629,297891
"227731",227731,114789,246771
"77805",77805,114799,680014
"271786",271786,114805,311039
"63913",63913,116496,63912
"242669",242669,113451,366473
"93735",93735,51384,500047
"76626",76626,124540,360596
"117148",117148,54550,170928
"74649",74649,93979,408212
"226025",226025,80036,309407
"224454",224454,79683,499014
"67790",67790,116442,NA
"384214",384214,253152,289440
"330189",330189,144404,690137
"208718",208718,129563,367307
"78937",78937,23080,312371
"241274",241274,375775,246246
"320398",320398,121227,299830
"210027",210027,148641,679321
"330836",330836,9057,307811
"56526",56526,23157,691335
"225861",225861,254122,361708
"110893",110893,6547,140448
"227394",227394,353189,432363
"320981",320981,133121,306460
"16875",16875,431707,365963
"74154",74154,64718,302987
"100504715",100504715,643853,102555172
"68427",68427,91252,295928
"216848",216848,1107,303241
"194597",194597,339967,686581
"64453",64453,140883,294343
"140810",140810,146057,311349
"319634",319634,374786,363653
"73112",73112,58527,NA
"214627",214627,64282,307745
"101543",101543,126374,361552
"170753",170753,619279,310233
"100494",100494,90637,360772
"104910",104910,283600,299316
"66183",66183,165679,NA
"66631",66631,84641,306687
"68552",68552,201895,364154
"171234",171234,317703,494229
"52850",52850,129049,288743
"216154",216154,10025,299607
"619331",619331,90233,682964
"277203",277203,116211,288044
"271697",271697,65061,301440
"77739",77739,92949,362539
"330409",330409,27443,500308
"77097",77097,26115,303599
"664805",664805,652991,681200
"70451",70451,147015,NA
"231832",231832,202915,304325
"666311",666311,221785,363872
"208666",208666,148252,366826
"100465",100465,148932,313511
"237775",237775,199692,100125361
"213603",213603,126969,295417
"216225",216225,160728,500820
"226421",226421,338382,501854
"107146",107146,10249,293779
"243362",243362,90627,498130
"258270",258270,393046,405137
"258992",258992,219960,NA
"258352",258352,120787,686660
"258373",258373,391189,NA
